0,date,time,open,high,low,close,volume,state
1,2019.01.02,00:00,139.598,139.74,139.574,139.711,670,1
2,2019.01.02,00:15,139.711,139.827,139.711,139.804,974,1
3,2019.01.02,00:30,139.804,139.804,139.762,139.792,3829,-1
4,2019.01.02,00:45,139.792,139.814,139.636,139.684,4680,-1
5,2019.01.02,01:00,139.66,139.879,139.655,139.879,2298,1
6,2019.01.02,01:15,139.878,139.907,139.835,139.871,978,-1
7,2019.01.02,01:30,139.87,139.893,139.849,139.882,327,1
8,2019.01.02,01:45,139.884,139.908,139.837,139.881,631,-1
9,2019.01.02,02:00,139.881,139.881,139.641,139.7,1601,-1
10,2019.01.02,02:15,139.698,139.758,139.68,139.682,2337,-1
11,2019.01.02,02:30,139.681,139.827,139.681,139.824,2298,1
12,2019.01.02,02:45,139.825,139.828,139.738,139.779,770,-1
13,2019.01.02,03:00,139.781,139.796,139.705,139.79,1393,1
14,2019.01.02,03:15,139.79,139.79,139.757,139.779,436,-1
15,2019.01.02,03:30,139.78,139.815,139.745,139.773,1635,-1
16,2019.01.02,03:45,139.775,139.775,139.667,139.698,1628,-1
17,2019.01.02,04:00,139.699,139.699,139.555,139.563,1371,-1
18,2019.01.02,04:15,139.564,139.576,139.353,139.389,3063,-1
19,2019.01.02,04:30,139.388,139.4,139.242,139.269,1738,-1
20,2019.01.02,04:45,139.27,139.327,139.228,139.282,1258,1
21,2019.01.02,05:00,139.283,139.309,139.21,139.308,1177,1
22,2019.01.02,05:15,139.309,139.311,139.234,139.242,1168,-1
23,2019.01.02,05:30,139.241,139.265,139.205,139.243,963,1
24,2019.01.02,05:45,139.24,139.322,139.224,139.313,1945,1
25,2019.01.02,06:00,139.314,139.33,139.225,139.232,1233,-1
26,2019.01.02,06:15,139.233,139.255,139.218,139.25,478,1
27,2019.01.02,06:30,139.249,139.309,139.236,139.28,570,1
28,2019.01.02,06:45,139.278,139.318,139.265,139.311,372,1
29,2019.01.02,07:00,139.31,139.334,139.301,139.331,490,1
30,2019.01.02,07:15,139.332,139.448,139.322,139.42,1415,1
31,2019.01.02,07:30,139.419,139.479,139.403,139.471,1705,1
32,2019.01.02,07:45,139.471,139.474,139.392,139.442,1760,-1
33,2019.01.02,08:00,139.442,139.487,139.394,139.43,2116,-1
34,2019.01.02,08:15,139.431,139.438,139.359,139.372,1731,-1
35,2019.01.02,08:30,139.377,139.409,139.311,139.314,863,-1
36,2019.01.02,08:45,139.314,139.383,139.3,139.375,1460,1
37,2019.01.02,09:00,139.375,139.44,139.3,139.347,1657,-1
38,2019.01.02,09:15,139.348,139.371,139.29,139.349,1963,1
39,2019.01.02,09:30,139.349,139.448,139.304,139.444,1737,1
40,2019.01.02,09:45,139.445,139.457,139.356,139.396,2848,-1
41,2019.01.02,10:00,139.395,139.463,139.145,139.149,3361,-1
42,2019.01.02,10:15,139.149,139.18,138.823,138.838,4059,-1
43,2019.01.02,10:30,138.838,138.838,138.338,138.345,4974,-1
44,2019.01.02,10:45,138.345,138.541,138.319,138.504,3363,1
45,2019.01.02,11:00,138.504,138.563,138.354,138.39,3617,-1
46,2019.01.02,11:15,138.391,138.394,138.158,138.161,3199,-1
