0,date,time,p_open,p_high,p_low,p_close,volume,st_bullish,st_bearish,st_neutral,ss_asia,ss_europe,ss_newyork,vol_diff,upper_wick_length,lower_wick_length,support,resistance
1,2019.01.02,00:00,1.1463,1.1463,1.14598,1.14606,110,0,1,0,0,0,0,,5.0,4.0,0,0
2,2019.01.02,00:15,1.14602,1.1463,1.14598,1.14603,242,1,0,0,0,0,0,5.0,1.0,5.0,1,0
3,2019.01.02,00:30,1.14603,1.14631,1.14598,1.14629,277,1,0,0,0,0,0,1.0,5.0,5.0,0,0
4,2019.01.02,00:45,1.1463,1.14644,1.14597,1.14622,541,0,1,0,0,0,0,5.0,4.0,3.0,0,1
5,2019.01.02,01:00,1.14603,1.14671,1.14558,1.14655,981,1,0,0,0,0,0,5.0,5.0,4.0,1,0
6,2019.01.02,01:15,1.14657,1.14678,1.1465,1.14665,806,1,0,0,0,0,0,-1.0,3.0,4.0,0,0
7,2019.01.02,01:30,1.14666,1.1467,1.14647,1.14651,392,0,1,0,0,0,0,-3.0,5.0,5.0,0,1
8,2019.01.02,01:45,1.1465,1.14651,1.14611,1.14611,319,0,1,0,0,0,0,-1.0,5.0,5.0,0,0
9,2019.01.02,02:00,1.14612,1.14626,1.14574,1.14623,662,1,0,0,1,0,0,5.0,5.0,2.0,1,0
10,2019.01.02,02:15,1.14624,1.14625,1.14574,1.14579,436,0,1,0,1,0,0,-2.0,5.0,5.0,0,1
11,2019.01.02,02:30,1.14579,1.14588,1.14544,1.14559,580,0,1,0,1,0,0,2.0,4.0,4.0,0,0
12,2019.01.02,02:45,1.14559,1.14564,1.14554,1.14561,337,1,0,0,1,0,0,-3.0,4.0,3.0,1,0
13,2019.01.02,03:00,1.14561,1.14562,1.14502,1.14512,730,0,1,0,1,0,0,5.0,5.0,5.0,0,1
14,2019.01.02,03:15,1.14513,1.14549,1.14513,1.14523,380,1,0,0,1,0,0,-3.0,2.0,5.0,1,0
15,2019.01.02,03:30,1.14523,1.14537,1.14515,1.14536,655,1,0,0,1,0,0,4.0,5.0,4.0,0,0
16,2019.01.02,03:45,1.14535,1.14535,1.14458,1.14522,974,0,1,0,1,0,0,3.0,5.0,1.0,0,1
17,2019.01.02,04:00,1.14522,1.14534,1.14505,1.14533,722,1,0,0,1,0,0,-2.0,5.0,3.0,1,0
18,2019.01.02,04:15,1.14531,1.14533,1.1447,1.14485,970,0,1,0,1,0,0,2.0,5.0,4.0,0,1
19,2019.01.02,04:30,1.14486,1.14506,1.14444,1.14449,747,0,1,0,1,0,0,-2.0,4.0,5.0,0,0
20,2019.01.02,04:45,1.14448,1.14457,1.14427,1.14457,485,1,0,0,1,0,0,-2.0,5.0,2.0,1,0
