0,date,time,p_open,p_high,p_low,p_close,volume,st_bullish,st_bearish,st_neutral,ss_asia,ss_europe,ss_newyork,vol_diff,upper_wick_length,lower_wick_length
1,2019.01.02,00:00,1.1463,1.14967,1.1325,1.13419,109725,0,1,0,0,0,0,,0.2782824112303761,0.13955408753096285
2,2019.01.03,00:00,1.13419,1.14109,1.13078,1.13921,133230,1,0,0,0,0,0,2.0,-0.37450199203184714,-0.67928286852592
3,2019.01.04,00:00,1.13921,1.14191,1.13458,1.13966,110828,1,0,0,0,0,0,-1.0,-5.0000000000019735,-10.288888888892858
4,2019.01.07,00:00,1.13948,1.14826,1.13946,1.14742,83857,1,0,0,0,0,0,-2.0,-0.10579345088160526,-0.002518891687673914
5,2019.01.08,00:00,1.14741,1.14846,1.14219,1.14409,89276,0,1,0,0,0,0,0.0,0.31626506024096346,0.5722891566265117
6,2019.01.09,00:00,1.1441,1.15578,1.14368,1.15423,113841,1,0,0,0,0,0,2.0,-0.15301085883513432,-0.04146100691015369
7,2019.01.10,00:00,1.15423,1.15698,1.14844,1.14997,108375,0,1,0,0,0,0,,0.6455399061032182,0.35915492957745926
8,2019.01.11,00:00,1.14998,1.15403,1.14507,1.14681,179915,0,1,0,0,0,0,4.0,1.2776025236593127,0.5488958990536695
9,2019.01.15,00:00,1.1468,1.14896,1.13818,1.14125,107588,0,1,0,0,0,0,-3.0,0.38918918918918227,0.5531531531531818
10,2019.01.16,00:00,1.14121,1.14247,1.13778,1.13912,87174,0,1,0,0,0,0,-1.0,0.6028708133971052,0.6411483253587571
11,2019.01.17,00:00,1.13912,1.14059,1.13699,1.13873,91807,0,1,0,0,0,0,0.0,3.7692307692320393,4.461538461539907
12,2019.01.18,00:00,1.13872,1.14102,1.13532,1.13607,83460,0,1,0,0,0,0,,0.8679245283018615,0.28301886792445086
13,2019.01.21,00:00,1.13604,1.13913,1.13568,1.13659,57321,1,0,0,0,0,0,-2.0,-4.6181818181813705,-0.6545454545452417
14,2019.01.22,00:00,1.13666,1.1374,1.13361,1.13589,77807,0,1,0,0,0,0,2.0,0.961038961038991,2.9610389610392795
15,2019.01.23,00:00,1.13588,1.13944,1.13508,1.13805,81446,1,0,0,0,0,0,0.0,-0.6405529953917046,-0.3686635944700046
16,2019.01.24,00:00,1.13804,1.13914,1.12893,1.13039,112754,0,1,0,0,0,0,2.0,0.14379084967321704,0.1908496732026182
17,2019.01.25,00:00,1.13027,1.14176,1.12998,1.14051,105608,1,0,0,0,0,0,,-0.12207031250002141,-0.0283203125000126
18,2019.01.28,00:00,1.14,1.14436,1.139,1.14269,81410,1,0,0,0,0,0,-2.0,-0.6208178438661747,-0.37174721189585863
19,2019.01.29,00:00,1.14271,1.14501,1.14112,1.14321,99176,1,0,0,0,0,0,2.0,-3.5999999999988455,-3.179999999998899
20,2019.01.30,00:00,1.1432,1.15016,1.14061,1.14787,104138,1,0,0,0,0,0,0.0,-0.4903640256959633,-0.5546038543897471
21,2019.01.31,00:00,1.14788,1.15141,1.14356,1.1446,103584,0,1,0,0,0,0,,1.0762195121951486,0.3170731707317585
22,2019.02.01,00:00,1.14457,1.14885,1.14342,1.1453,89492,1,0,0,0,0,0,-1.0,-4.863013698630741,-1.5753424657536246
23,2019.02.04,00:00,1.14507,1.14603,1.14244,1.14346,75718,0,1,0,0,0,0,-1.0,0.5962732919254693,0.6335403726707766
24,2019.02.05,00:00,1.14348,1.14405,1.14012,1.14049,72135,0,1,0,0,0,0,,0.19063545150500008,0.12374581939798511
25,2019.02.06,00:00,1.14019,1.14095,1.13608,1.13616,73071,0,1,0,0,0,0,0.0,0.1885856079404159,0.019851116625330133
26,2019.02.07,00:00,1.13616,1.13684,1.13245,1.13382,78695,0,1,0,0,0,0,0.0,0.29059829059829545,0.5854700854701231
27,2019.02.08,00:00,1.13382,1.13508,1.13211,1.13222,65074,0,1,0,0,0,0,-1.0,0.7875000000000018,0.06875000000003209
28,2019.02.11,00:00,1.13187,1.13298,1.12672,1.12753,70915,0,1,0,0,0,0,0.0,0.2557603686636322,0.18663594470045516
29,2019.02.12,00:00,1.12752,1.13397,1.12576,1.13248,71449,1,0,0,0,0,0,0.0,-0.30040322580645873,-0.3548387096774266
30,2019.02.13,00:00,1.13249,1.13414,1.12586,1.12586,76528,0,1,0,0,0,0,0.0,0.24886877828053555,-0.0
31,2019.02.14,00:00,1.12586,1.13098,1.12491,1.1295,89289,1,0,0,0,0,0,1.0,-0.4065934065934622,-0.2609890109890224
32,2019.02.15,00:00,1.12945,1.13061,1.12341,1.12908,79050,0,1,0,0,0,0,-1.0,3.135135135134827,15.324324324325264
33,2019.02.18,00:00,1.12918,1.13339,1.12888,1.13077,53026,1,0,0,0,0,0,-2.0,-1.6477987421382876,-0.18867924528300042
34,2019.02.19,00:00,1.13078,1.13576,1.12756,1.13394,82531,1,0,0,0,0,0,3.0,-0.5759493670886472,-1.0189873417721353
35,2019.02.20,00:00,1.13393,1.13711,1.13248,1.13357,81650,0,1,0,0,0,0,,8.833333333329838,3.0277777777767154
36,2019.02.21,00:00,1.13358,1.13664,1.132,1.13341,92630,0,1,0,0,0,0,1.0,18.0,8.294117647059439
37,2019.02.22,00:00,1.13341,1.13557,1.13162,1.13308,74437,0,1,0,0,0,0,-1.0,6.545454545455524,4.4242424242432605
38,2019.02.25,00:00,1.13337,1.13674,1.13277,1.1357,72575,1,0,0,0,0,0,,-0.4463519313305482,-0.2575107296137118
39,2019.02.26,00:00,1.13584,1.14026,1.1345,1.1388,80038,1,0,0,0,0,0,1.0,-0.49324324324323665,-0.45270270270265656
40,2019.02.27,00:00,1.13882,1.14034,1.13622,1.13689,82463,0,1,0,0,0,0,0.0,0.7875647668393657,0.3471502590673331
41,2019.02.28,00:00,1.1369,1.14195,1.13593,1.13698,94045,1,0,0,0,0,0,1.0,-62.124999999936854,-12.124999999986816
42,2019.03.01,00:00,1.13698,1.14086,1.13532,1.13631,82130,0,1,0,0,0,0,-1.0,5.791044776117756,1.4776119402978694
43,2019.03.04,00:00,1.13822,1.13822,1.1309,1.13392,76226,0,1,0,0,0,0,,-0.0,0.7023255813953589
44,2019.03.05,00:00,1.13388,1.13408,1.12895,1.13074,73022,0,1,0,0,0,0,,0.06369426751591817,0.5700636942675877
45,2019.03.06,00:00,1.13075,1.13245,1.12855,1.13059,69813,0,1,0,0,0,0,,10.625000000004336,12.750000000005205
46,2019.03.07,00:00,1.13051,1.13202,1.11761,1.11935,92836,0,1,0,0,0,0,2.0,0.13530465949822082,0.15591397849463265
47,2019.03.08,00:00,1.11935,1.12459,1.1185,1.12326,89092,1,0,0,0,0,0,,-0.340153452685448,-0.21739130434783843
48,2019.03.11,00:00,1.12308,1.12584,1.12218,1.12447,72680,1,0,0,0,0,0,-1.0,-0.9856115107912726,-0.6474820143885766
49,2019.03.12,00:00,1.12447,1.1305,1.12445,1.12872,95085,1,0,0,0,0,0,2.0,-0.418823529411805,-0.004705882352972155
50,2019.03.13,00:00,1.12868,1.13386,1.12774,1.13266,75530,1,0,0,0,0,0,-2.0,-0.3015075376884576,-0.2361809045225926
51,2019.03.14,00:00,1.13266,1.13376,1.12942,1.13026,84342,0,1,0,0,0,0,1.0,0.45833333333338344,0.3499999999999861
52,2019.03.15,00:00,1.13018,1.13443,1.12967,1.13248,69292,1,0,0,0,0,0,-1.0,-0.8478260869565847,-0.22173913043479015
53,2019.03.18,00:00,1.13201,1.13589,1.13189,1.13326,61281,1,0,0,0,0,0,-1.0,-2.1040000000001506,-0.09599999999992041
54,2019.03.19,00:00,1.13331,1.13616,1.13317,1.13507,62159,1,0,0,0,0,0,0.0,-0.6193181818182076,-0.07954545454547175
55,2019.03.20,00:00,1.13507,1.14479,1.13354,1.14129,86298,1,0,0,0,0,0,2.0,-0.5627009646302442,-0.2459807073955077
