0,date,time,p_open,p_high,p_low,p_close,volume,st_bullish,st_bearish,st_neutral,ss_asia,ss_europe,ss_newyork,vol_diff,upper_wick_length,lower_wick_length,support,resistance,nxt_move_1H
1,2021.01.04,00:00,1.22388,1.22557,1.22274,1.22525,15315,1,0,0,0,0,0,,5.0,3.0,0,0,3.4
2,2021.01.04,04:00,1.22523,1.22591,1.22414,1.2255,13384,1,0,0,1,0,0,-1.0,4.0,2.0,0,0,41.4
3,2021.01.04,08:00,1.22552,1.23005,1.22421,1.22934,21429,1,0,0,1,0,0,4.0,5.0,4.0,0,0,5.6
4,2021.01.04,12:00,1.22935,1.23061,1.22863,1.22993,21533,1,0,0,0,1,0,0.0,4.0,4.0,0,0,3.6
5,2021.01.04,16:00,1.22993,1.23097,1.22499,1.22525,34822,0,1,0,0,1,1,4.0,5.0,5.0,0,1,-8.6
6,2021.01.04,20:00,1.22525,1.22567,1.22413,1.22475,14488,0,1,0,0,0,1,-3.0,4.0,3.0,0,0,1.9
7,2021.01.05,00:00,1.22475,1.22629,1.22432,1.22571,9988,1,0,0,0,0,0,-2.0,4.0,4.0,1,0,13.9
8,2021.01.05,04:00,1.22572,1.22768,1.22568,1.22722,13001,1,0,0,1,0,0,2.0,4.0,5.0,0,0,7.0
9,2021.01.05,08:00,1.22723,1.22838,1.22551,1.22722,22043,0,1,0,1,0,0,4.0,3.0,3.0,0,1,5.2
10,2021.01.05,12:00,1.22723,1.22907,1.22603,1.22625,21935,0,1,0,0,1,0,,2.0,5.0,0,0,-6.4
11,2021.01.05,16:00,1.22627,1.23051,1.22539,1.22993,31678,1,0,0,0,1,1,3.0,5.0,5.0,1,0,0.5
12,2021.01.05,20:00,1.22992,1.23056,1.22895,1.22938,12810,0,1,0,0,0,1,-3.0,4.0,4.0,0,1,-8.6
13,2021.01.06,00:00,1.23006,1.23258,1.22809,1.22891,20242,0,1,0,0,0,0,3.0,3.0,5.0,0,0,-5.4
14,2021.01.06,04:00,1.22891,1.23065,1.22755,1.22964,22620,1,0,0,1,0,0,1.0,4.0,3.0,1,0,38.7
15,2021.01.06,08:00,1.22965,1.23452,1.22965,1.23379,27997,1,0,0,1,0,0,2.0,5.0,5.0,0,0,4.1
16,2021.01.06,12:00,1.23378,1.23493,1.23165,1.23199,25182,0,1,0,0,1,0,-1.0,4.0,5.0,0,1,-50.9
17,2021.01.06,16:00,1.23197,1.23206,1.22656,1.22985,35041,0,1,0,0,1,1,2.0,5.0,3.0,0,0,30.7
18,2021.01.06,20:00,1.22984,1.23398,1.22963,1.2325,22590,1,0,0,0,0,1,-2.0,4.0,5.0,1,0,4.4
19,2021.01.07,00:00,1.23249,1.23442,1.2322,1.23306,11648,1,0,0,0,0,0,-3.0,2.0,5.0,0,0,-11.9
20,2021.01.07,04:00,1.23306,1.23323,1.23107,1.23125,12789,0,1,0,1,0,0,0.0,5.0,5.0,0,1,-46.6
21,2021.01.07,08:00,1.23125,1.23256,1.22641,1.22688,26033,0,1,0,1,0,0,5.0,4.0,5.0,0,0,-19.1
22,2021.01.07,12:00,1.22689,1.22785,1.2245,1.22685,23395,0,1,0,0,1,0,-1.0,4.0,2.0,0,0,1.2
23,2021.01.07,16:00,1.22683,1.22826,1.22462,1.22658,30017,0,1,0,0,1,1,2.0,4.0,3.0,0,0,16.4
24,2021.01.07,20:00,1.22662,1.2279,1.22626,1.2271,10646,1,0,0,0,0,1,-4.0,3.0,4.0,1,0,-6.7
25,2021.01.08,00:00,1.2271,1.22723,1.22348,1.22479,12758,0,1,0,0,0,0,1.0,5.0,4.0,0,1,10.7
26,2021.01.08,04:00,1.22481,1.22681,1.22455,1.22578,13237,1,0,0,1,0,0,0.0,3.0,5.0,1,0,0.9
27,2021.01.08,08:00,1.22581,1.2269,1.22132,1.22396,24367,0,1,0,1,0,0,5.0,5.0,3.0,0,1,19.2
28,2021.01.08,12:00,1.22391,1.22844,1.22324,1.22698,24392,1,0,0,0,1,0,0.0,4.0,5.0,1,0,-1.1
29,2021.01.08,16:00,1.22697,1.22833,1.22221,1.22286,38654,0,1,0,0,1,1,3.0,4.0,5.0,0,1,-29.1
30,2021.01.08,20:00,1.22285,1.22285,1.2193,1.22194,16930,0,1,0,0,0,1,-3.0,5.0,2.0,0,0,-21.8
31,2021.01.11,00:00,1.22156,1.22212,1.21712,1.21777,13810,0,1,0,0,0,0,-1.0,5.0,5.0,0,0,-4.6
32,2021.01.11,04:00,1.21777,1.21819,1.21666,1.21816,11916,1,0,0,1,0,0,-1.0,5.0,2.0,1,0,17.8
33,2021.01.11,08:00,1.21816,1.21997,1.21601,1.21606,23030,0,1,0,1,0,0,5.0,3.0,5.0,0,1,-20.6
34,2021.01.11,12:00,1.21608,1.21721,1.21395,1.21446,23664,0,1,0,0,1,0,0.0,4.0,5.0,0,0,-7.2
35,2021.01.11,16:00,1.21446,1.21743,1.21323,1.21671,28139,1,0,0,0,1,1,1.0,5.0,4.0,1,0,-2.7
36,2021.01.11,20:00,1.21668,1.21716,1.21487,1.21511,9457,0,1,0,0,0,1,-4.0,4.0,5.0,0,1,-8.2
37,2021.01.12,00:00,1.21512,1.21619,1.21405,1.21491,9862,0,1,0,0,0,0,0.0,3.0,3.0,0,0,-1.8
38,2021.01.12,04:00,1.21491,1.21551,1.21387,1.21533,10431,1,0,0,1,0,0,0.0,5.0,2.0,1,0,23.8
39,2021.01.12,08:00,1.21533,1.21789,1.21487,1.21618,20611,1,0,0,1,0,0,5.0,3.0,5.0,0,0,-12.1
40,2021.01.12,12:00,1.21616,1.21668,1.21404,1.21463,20133,0,1,0,0,1,0,,5.0,4.0,0,1,-3.2
41,2021.01.12,16:00,1.21466,1.21777,1.21372,1.21745,24313,1,0,0,0,1,1,2.0,5.0,4.0,1,0,32.0
42,2021.01.12,20:00,1.21744,1.22097,1.21722,1.22054,13897,1,0,0,0,0,1,-3.0,5.0,5.0,0,0,8.5
43,2021.01.13,00:00,1.22059,1.22182,1.22005,1.22174,10643,1,0,0,0,0,0,-2.0,5.0,4.0,0,0,2.3
44,2021.01.13,04:00,1.22174,1.22205,1.22074,1.22089,9240,0,1,0,1,0,0,-1.0,4.0,5.0,0,1,-25.0
45,2021.01.13,08:00,1.2209,1.22228,1.21824,1.21894,17755,0,1,0,1,0,0,5.0,4.0,5.0,0,0,-27.6
46,2021.01.13,12:00,1.21895,1.21919,1.21548,1.21613,22486,0,1,0,0,1,0,2.0,5.0,5.0,0,0,-14.9
47,2021.01.13,16:00,1.21612,1.21806,1.21399,1.21652,28465,1,0,0,0,1,1,2.0,4.0,3.0,1,0,-5.9
48,2021.01.13,20:00,1.21655,1.21747,1.21485,1.2157,11475,0,1,0,0,0,1,-3.0,4.0,4.0,0,1,3.4
49,2021.01.14,00:00,1.21568,1.21718,1.21519,1.21661,8116,1,0,0,0,0,0,-2.0,4.0,4.0,1,0,-2.7
50,2021.01.14,04:00,1.21661,1.21691,1.21358,1.21552,17460,0,1,0,1,0,0,5.0,5.0,3.0,0,1,0.3
51,2021.01.14,08:00,1.21552,1.21674,1.21361,1.21661,19413,1,0,0,1,0,0,1.0,5.0,2.0,1,0,-0.3
52,2021.01.14,12:00,1.21661,1.21671,1.21111,1.21198,21762,0,1,0,0,1,0,1.0,5.0,5.0,0,1,0.8
53,2021.01.14,16:00,1.21199,1.21785,1.21119,1.21662,25710,1,0,0,0,1,1,1.0,5.0,5.0,1,0,-1.1
54,2021.01.14,20:00,1.21663,1.21774,1.21469,1.21521,16102,0,1,0,0,0,1,-2.0,4.0,5.0,0,1,1.6
55,2021.01.15,00:00,1.21521,1.21626,1.21485,1.21509,9255,0,1,0,0,0,0,-3.0,2.0,5.0,0,0,-13.2
56,2021.01.15,04:00,1.21509,1.21546,1.21353,1.21398,9196,0,1,0,1,0,0,,5.0,4.0,0,0,-17.6
57,2021.01.15,08:00,1.21398,1.21468,1.21177,1.21389,18015,0,1,0,1,0,0,5.0,4.0,2.0,0,0,-3.8
58,2021.01.15,12:00,1.21387,1.21443,1.21139,1.2116,19344,0,1,0,0,1,0,0.0,5.0,5.0,0,0,-32.1
