0,date,time,p_open,p_high,p_low,p_close,volume,st_bullish,st_bearish,st_neutral,ss_asia,ss_europe,ss_newyork,vol_diff,upper_wick_length,lower_wick_length,support,resistance,nxt_move_1H
1,2020.01.02,00:00,1.12117,1.12246,1.11636,1.11717,65332,0,1,0,0,0,0,,4.0,5.0,0,0,-38.5
2,2020.01.03,00:00,1.11713,1.11799,1.11251,1.11585,77626,0,1,0,0,0,0,1.0,5.0,2.0,0,0,32.1
3,2020.01.06,00:00,1.11584,1.12057,1.11572,1.11968,66872,1,0,0,0,0,0,-1.0,5.0,5.0,1,0,-8.3
4,2020.01.07,00:00,1.11968,1.11974,1.11337,1.11529,71457,0,1,0,0,0,0,0.0,5.0,4.0,0,1,-31.9
5,2020.01.08,00:00,1.11528,1.11683,1.11018,1.11053,105613,0,1,0,0,0,0,3.0,4.0,5.0,0,0,-9.0
6,2020.01.09,00:00,1.11053,1.11204,1.10928,1.11057,65882,1,0,0,0,0,0,-2.0,3.0,3.0,1,0,8.8
7,2020.01.10,00:00,1.11054,1.11292,1.1085,1.11157,60829,1,0,0,0,0,0,,4.0,3.0,0,0,17.7
8,2020.01.13,00:00,1.11106,1.11469,1.11106,1.11337,51386,1,0,0,0,0,0,-1.0,4.0,5.0,0,0,-2.5
9,2020.01.14,00:00,1.11337,1.11444,1.11045,1.11272,64108,0,1,0,0,0,0,2.0,4.0,3.0,0,1,13.9
10,2020.01.15,00:00,1.11274,1.11634,1.11184,1.11492,57544,1,0,0,0,0,0,-1.0,4.0,4.0,1,0,9.3
11,2020.01.16,00:00,1.11491,1.11727,1.11279,1.11358,58287,0,1,0,0,0,0,0.0,3.0,5.0,0,1,-41.7
12,2020.01.17,00:00,1.11358,1.11425,1.10862,1.1089,55107,0,1,0,0,0,0,,5.0,5.0,0,0,-9.4
13,2020.01.20,00:00,1.10899,1.11024,1.10768,1.10934,40326,1,0,0,0,0,0,-2.0,4.0,3.0,1,0,15.7
14,2020.01.21,00:00,1.10938,1.11181,1.10811,1.10818,49738,0,1,0,0,0,0,2.0,2.0,5.0,0,1,-10.9
15,2020.01.22,00:00,1.10818,1.10985,1.10702,1.10921,49859,1,0,0,0,0,0,0.0,4.0,3.0,1,0,10.2
16,2020.01.23,00:00,1.10924,1.11087,1.10364,1.10562,62926,0,1,0,0,0,0,2.0,4.0,4.0,0,1,-16.5
17,2020.01.24,00:00,1.10529,1.10617,1.10199,1.1023,53735,0,1,0,0,0,0,-1.0,4.0,5.0,0,0,-10.3
18,2020.01.27,00:00,1.103,1.10375,1.10096,1.10183,57399,0,1,0,0,0,0,0.0,4.0,4.0,0,0,-11.8
19,2020.01.28,00:00,1.10184,1.10251,1.09978,1.10217,48253,1,0,0,0,0,0,-1.0,5.0,2.0,1,0,2.5
20,2020.01.29,00:00,1.1022,1.10276,1.09923,1.10092,47796,0,1,0,0,0,0,,5.0,3.0,0,1,12.2
21,2020.01.30,00:00,1.10097,1.10393,1.10045,1.10312,60498,1,0,0,0,0,0,2.0,4.0,5.0,1,0,56.0
22,2020.01.31,00:00,1.10298,1.10953,1.10169,1.10945,62975,1,0,0,0,0,0,0.0,5.0,5.0,0,0,-1.2
23,2020.02.03,00:00,1.10937,1.10941,1.10358,1.10591,61497,0,1,0,0,0,0,,5.0,4.0,0,1,-2.9
24,2020.02.04,00:00,1.10583,1.10642,1.10329,1.10439,53642,0,1,0,0,0,0,-1.0,5.0,4.0,0,0,-39.2
25,2020.02.05,00:00,1.10438,1.10479,1.09937,1.09986,56881,0,1,0,0,0,0,0.0,5.0,5.0,0,0,-29.2
26,2020.02.06,00:00,1.09986,1.1014,1.09645,1.09826,48541,0,1,0,0,0,0,-1.0,4.0,4.0,0,0,-22.5
27,2020.02.07,00:00,1.09819,1.0985,1.0942,1.09443,59175,0,1,0,0,0,0,2.0,5.0,5.0,0,0,-34.4
28,2020.02.10,00:00,1.09417,1.09574,1.09076,1.09102,48289,0,1,0,0,0,0,-1.0,4.0,5.0,0,0,-16.4
29,2020.02.11,00:00,1.09105,1.09248,1.08912,1.09146,51574,1,0,0,0,0,0,0.0,4.0,3.0,1,0,0.7
30,2020.02.12,00:00,1.09146,1.09255,1.08654,1.08734,52000,0,1,0,0,0,0,0.0,5.0,5.0,0,1,-31.5
31,2020.02.13,00:00,1.08729,1.08887,1.08339,1.08407,55960,0,1,0,0,0,0,0.0,4.0,5.0,0,0,-6.7
32,2020.02.14,00:00,1.08407,1.08611,1.08272,1.08294,49543,0,1,0,0,0,0,-1.0,2.0,5.0,0,0,2.0
33,2020.02.17,00:00,1.08408,1.08511,1.08292,1.08343,34118,0,1,0,0,0,0,-2.0,3.0,4.0,0,0,-43.5
34,2020.02.18,00:00,1.08351,1.08373,1.07857,1.07908,56957,0,1,0,0,0,0,4.0,5.0,5.0,0,0,-3.5
35,2020.02.19,00:00,1.07906,1.08117,1.07822,1.08046,53659,1,0,0,0,0,0,,4.0,4.0,1,0,9.5
36,2020.02.20,00:00,1.08044,1.08212,1.07779,1.07846,69891,0,1,0,0,0,0,2.0,4.0,5.0,0,1,6.6
37,2020.02.21,00:00,1.07846,1.08636,1.07845,1.08481,68315,1,0,0,0,0,0,,5.0,5.0,1,0,8.3
38,2020.02.24,00:00,1.08138,1.08719,1.0805,1.08516,97890,1,0,0,0,0,0,3.0,4.0,5.0,0,0,18.3
39,2020.02.25,00:00,1.08526,1.08902,1.08301,1.08809,103015,1,0,0,0,0,0,0.0,5.0,4.0,0,0,18.5
40,2020.02.26,00:00,1.0881,1.09087,1.0855,1.08811,109355,1,0,0,0,0,0,0.0,3.0,3.0,0,0,97.7
41,2020.02.27,00:00,1.08811,1.10064,1.08775,1.09997,129950,1,0,0,0,0,0,1.0,5.0,5.0,0,0,46.7
42,2020.02.28,00:00,1.10003,1.10531,1.09508,1.10287,165496,1,0,0,0,0,0,2.0,4.0,3.0,0,0,131.5
43,2020.03.02,00:00,1.10428,1.11846,1.10363,1.11323,177069,1,0,0,0,0,0,0.0,4.0,5.0,0,0,28.7
