0,date,time,p_open,p_high,p_low,p_close,volume,st_bullish,st_bearish,st_neutral,ss_asia,ss_europe,ss_newyork,vol_diff,upper_wick_length,lower_wick_length,support,resistance,nxt_move_1H
1,2021.01.04,00:00,140.685,141.315,140.664,141.002,26372,1,0,0,0,0,0,,3.0,5.0,0,0,-23.0
2,2021.01.04,04:00,141.001,141.085,140.852,140.944,19988,0,1,0,1,0,0,-2.0,4.0,4.0,0,1,-43.5
3,2021.01.04,08:00,140.947,141.066,140.417,140.479,38617,0,1,0,1,0,0,5.0,5.0,5.0,0,0,-21.3
4,2021.01.04,12:00,140.477,140.863,140.204,140.383,43520,0,1,0,0,1,0,1.0,3.0,4.0,0,0,-51.4
5,2021.01.04,16:00,140.386,140.44,139.69,139.962,54933,0,1,0,0,1,1,2.0,5.0,4.0,0,0,7.8
6,2021.01.04,20:00,139.961,140.075,139.768,139.868,27393,0,1,0,0,0,1,-3.0,4.0,4.0,0,0,8.2
7,2021.01.05,00:00,139.868,140.034,139.85,139.935,18291,1,0,0,0,0,0,-2.0,3.0,5.0,1,0,11.6
8,2021.01.05,04:00,139.936,140.15,139.891,139.993,25799,1,0,0,1,0,0,3.0,2.0,5.0,0,0,-8.7
9,2021.01.05,08:00,139.993,140.063,139.512,139.574,38686,0,1,0,1,0,0,3.0,5.0,5.0,0,1,2.4
10,2021.01.05,12:00,139.574,139.908,139.536,139.626,41454,1,0,0,0,1,0,0.0,2.0,5.0,1,0,10.0
11,2021.01.05,16:00,139.626,140.008,139.599,139.943,49145,1,0,0,0,1,1,1.0,5.0,5.0,0,0,-1.9
12,2021.01.05,20:00,139.944,139.989,139.768,139.911,21458,0,1,0,0,0,1,-3.0,4.0,2.0,0,1,-2.8
13,2021.01.06,00:00,139.908,140.03,139.74,139.836,26847,0,1,0,0,0,0,2.0,3.0,4.0,0,0,4.9
14,2021.01.06,04:00,139.835,139.998,139.789,139.95,35437,1,0,0,1,0,0,2.0,4.0,4.0,1,0,38.1
15,2021.01.06,08:00,139.95,140.379,139.873,140.347,43138,1,0,0,1,0,0,2.0,5.0,5.0,0,0,19.7
16,2021.01.06,12:00,140.347,140.576,139.94,139.945,46555,0,1,0,0,1,0,0.0,4.0,5.0,0,1,-16.8
17,2021.01.06,16:00,139.945,140.48,139.772,140.41,55039,1,0,0,0,1,1,1.0,5.0,4.0,1,0,4.5
18,2021.01.06,20:00,140.408,140.525,140.163,140.195,36704,0,1,0,0,0,1,-2.0,4.0,5.0,0,1,-5.1
19,2021.01.07,00:00,140.195,140.551,140.112,140.482,21906,1,0,0,0,0,0,-3.0,5.0,5.0,1,0,-5.8
20,2021.01.07,04:00,140.481,140.493,140.105,140.21,28354,0,1,0,1,0,0,2.0,5.0,4.0,0,1,7.2
21,2021.01.07,08:00,140.211,140.847,140.177,140.79,43635,1,0,0,1,0,0,3.0,5.0,5.0,1,0,14.5
22,2021.01.07,12:00,140.789,140.992,140.616,140.805,46413,1,0,0,0,1,0,0.0,3.0,3.0,0,0,0.5
23,2021.01.07,16:00,140.806,140.997,140.598,140.741,49305,0,1,0,0,1,1,0.0,3.0,4.0,0,1,13.5
24,2021.01.07,20:00,140.742,140.987,140.733,140.733,21977,0,1,0,0,0,1,-3.0,0.0,5.0,0,0,-0.4
25,2021.01.08,00:00,140.735,140.91,140.729,140.805,19387,1,0,0,0,0,0,-1.0,3.0,5.0,1,0,4.8
26,2021.01.08,04:00,140.806,140.958,140.747,140.901,22043,1,0,0,1,0,0,1.0,4.0,4.0,0,0,27.8
27,2021.01.08,08:00,140.901,141.236,140.887,141.185,43742,1,0,0,1,0,0,5.0,5.0,5.0,0,0,2.4
28,2021.01.08,12:00,141.187,141.26,141.049,141.147,42191,0,1,0,0,1,0,,4.0,3.0,0,1,-19.6
29,2021.01.08,16:00,141.149,141.375,140.853,141.199,62299,1,0,0,0,1,1,3.0,4.0,3.0,1,0,-17.0
30,2021.01.08,20:00,141.198,141.205,140.871,140.978,30998,0,1,0,0,0,1,-3.0,5.0,4.0,0,1,-24.9
31,2021.01.11,00:00,140.852,140.984,140.622,140.725,19241,0,1,0,0,0,0,-2.0,4.0,4.0,0,0,-3.3
32,2021.01.11,04:00,140.724,140.749,140.589,140.653,29585,0,1,0,1,0,0,3.0,5.0,4.0,0,0,-14.0
33,2021.01.11,08:00,140.656,140.715,140.449,140.462,38146,0,1,0,1,0,0,2.0,4.0,5.0,0,0,-11.0
34,2021.01.11,12:00,140.461,140.578,140.339,140.401,42333,0,1,0,0,1,0,1.0,3.0,4.0,0,0,2.6
35,2021.01.11,16:00,140.4,140.912,140.365,140.907,51281,1,0,0,0,1,1,2.0,5.0,5.0,1,0,1.6
36,2021.01.11,20:00,140.908,140.928,140.768,140.875,18191,0,1,0,0,0,1,-4.0,5.0,2.0,0,1,-6.7
37,2021.01.12,00:00,140.927,141.027,140.701,140.958,20894,1,0,0,0,0,0,1.0,4.0,2.0,1,0,15.1
38,2021.01.12,04:00,140.959,141.178,140.918,141.169,21982,1,0,0,1,0,0,0.0,5.0,5.0,0,0,52.1
39,2021.01.12,08:00,141.167,141.699,141.105,141.682,39068,1,0,0,1,0,0,4.0,5.0,5.0,0,0,9.7
40,2021.01.12,12:00,141.682,141.796,141.524,141.639,38642,0,1,0,0,1,0,,3.0,3.0,0,1,10.3
41,2021.01.12,16:00,141.639,142.029,141.627,141.791,43751,1,0,0,0,1,1,1.0,3.0,5.0,1,0,-15.2
42,2021.01.12,20:00,141.794,141.877,141.657,141.755,30066,0,1,0,0,0,1,-2.0,4.0,3.0,0,1,-4.4
43,2021.01.13,00:00,141.761,141.845,141.613,141.661,16995,0,1,0,0,0,0,-3.0,4.0,4.0,0,0,2.5
44,2021.01.13,04:00,141.66,141.829,141.638,141.808,22319,1,0,0,1,0,0,2.0,5.0,5.0,1,0,43.1
45,2021.01.13,08:00,141.809,142.26,141.709,142.159,35225,1,0,0,1,0,0,3.0,5.0,5.0,0,0,-4.5
46,2021.01.13,12:00,142.16,142.215,141.964,142.112,40534,0,1,0,0,1,0,1.0,4.0,3.0,0,1,-43.7
47,2021.01.13,16:00,142.11,142.114,141.527,141.683,45889,0,1,0,0,1,1,1.0,5.0,4.0,0,0,2.9
48,2021.01.13,20:00,141.683,141.726,141.556,141.632,22247,0,1,0,0,0,1,-3.0,4.0,3.0,0,0,5.6
